mid,versionedIcd
MONDO:0021166,ICD10CM:B02.22B02.22
MONDO:0002122,ICD10CM:B02.23B02.23
MONDO:0005609,ICD10CM:B02.23B02.23
MONDO:0002565,ICD10CM:B02.24B02.24
MONDO:0005609,ICD10CM:B02.24B02.24
MONDO:0005609,ICD10CM:B02.29B02.29
MONDO:0021166,ICD10CM:B02.29B02.29
MONDO:0002122,ICD10CM:B02.30B02.30
MONDO:0005883,ICD10CM:B02.30B02.30
MONDO:0002122,ICD10CM:B02.31B02.31
MONDO:0005883,ICD10CM:B02.31B02.31
MONDO:0002122,ICD10CM:B02.32B02.32
MONDO:0005883,ICD10CM:B02.32B02.32
MONDO:0002122,ICD10CM:B02.33B02.33
MONDO:0004768,ICD10CM:B02.33B02.33
MONDO:0004842,ICD10CM:B02.33B02.33
MONDO:0005883,ICD10CM:B02.33B02.33
MONDO:0023865,ICD10CM:B02.33B02.33
MONDO:0043541,ICD10CM:B02.33B02.33
MONDO:0002122,ICD10CM:B02.39B02.39
MONDO:0005883,ICD10CM:B02.39B02.39
MONDO:0005609,ICD10CM:B02.7B02.7
MONDO:0021166,ICD10CM:B02.7B02.7
MONDO:0002098,ICD10CM:B02.8B02.8
MONDO:0004795,ICD10CM:B02.8B02.8
MONDO:0005244,ICD10CM:B02.8B02.8
MONDO:0005769,ICD10CM:B02.8B02.8
MONDO:0021201,ICD10CM:B02.8B02.8
MONDO:0005609,ICD10CM:B02.9B02.9
MONDO:0021166,ICD10CM:B02.9B02.9
MONDO:0004619,ICD10CM:B05.9B05.9
MONDO:0006619,ICD10CM:B05.9B05.9
MONDO:0019293,ICD10CM:B05.9B05.9
MONDO:0021201,ICD10CM:B05.9B05.9
MONDO:0043233,ICD10CM:B05.9B05.9
MONDO:0001209,ICD10CM:B07.0B07.0
MONDO:0001795,ICD10CM:B07.0B07.0
MONDO:0005161,ICD10CM:B07.0B07.0
MONDO:0009176,ICD10CM:B07.0B07.0
MONDO:0021201,ICD10CM:B07.0B07.0
MONDO:0001209,ICD10CM:B07.8B07.8
MONDO:0005161,ICD10CM:B07.8B07.8
MONDO:0009176,ICD10CM:B07.8B07.8
MONDO:0021201,ICD10CM:B07.8B07.8
MONDO:0001209,ICD10CM:B07.9B07.9
MONDO:0005161,ICD10CM:B07.9B07.9
MONDO:0009176,ICD10CM:B07.9B07.9
MONDO:0005855,ICD10CM:B08.1B08.1
MONDO:0000337,ICD10CM:B08.21B08.21
MONDO:0006619,ICD10CM:B08.21B08.21
MONDO:0021201,ICD10CM:B08.21B08.21
MONDO:0005779,ICD10CM:B08.4B08.4
MONDO:0021201,ICD10CM:B08.4B08.4
MONDO:0025028,ICD10CM:B08.4B08.4
MONDO:0044989,ICD10CM:B08.4B08.4
MONDO:0044990,ICD10CM:B08.4B08.4
MONDO:0005108,ICD10CM:B09B09
MONDO:0006619,ICD10CM:B09B09
MONDO:0021201,ICD10CM:B09B09
MONDO:0005042,ICD10CM:B10.01B10.01
MONDO:0027029,ICD10CM:B10.01B10.01
MONDO:0005794,ICD10CM:B10.81B10.81
MONDO:0005790,ICD10CM:B15.9B15.9
MONDO:0020683,ICD10CM:B15.9B15.9
MONDO:0005344,ICD10CM:B16.0B16.0
MONDO:0020683,ICD10CM:B16.0B16.0
MONDO:0005344,ICD10CM:B16.1B16.1
MONDO:0020683,ICD10CM:B16.1B16.1
MONDO:0005344,ICD10CM:B16.9B16.9
MONDO:0020683,ICD10CM:B16.9B16.9
MONDO:0005789,ICD10CM:B17.0B17.0
MONDO:0005231,ICD10CM:B17.10B17.10
MONDO:0020683,ICD10CM:B17.10B17.10
MONDO:0005231,ICD10CM:B17.11B17.11
MONDO:0020683,ICD10CM:B17.11B17.11
MONDO:0005788,ICD10CM:B17.2B17.2
MONDO:0020683,ICD10CM:B17.2B17.2
MONDO:0006011,ICD10CM:B17.9B17.9
MONDO:0020683,ICD10CM:B17.9B17.9
MONDO:0005789,ICD10CM:B18.0B18.0
MONDO:0005366,ICD10CM:B18.1B18.1
MONDO:0005231,ICD10CM:B18.2B18.2
MONDO:0006011,ICD10CM:B18.9B18.9
MONDO:0006011,ICD10CM:B19.10B19.10
MONDO:0006011,ICD10CM:B19.11B19.11
MONDO:0005231,ICD10CM:B19.20B19.20
MONDO:0005231,ICD10CM:B19.21B19.21
MONDO:0006011,ICD10CM:B19.9B19.9
MONDO:0005639,ICD10CM:B20B20
MONDO:0012268,ICD10CM:B20B20
MONDO:0017769,ICD10CM:B20B20
MONDO:0024505,ICD10CM:B20B20
MONDO:0024354,ICD10CM:B25.0B25.0
MONDO:0043905,ICD10CM:B25.0B25.0
MONDO:0005132,ICD10CM:B25.1B25.1
MONDO:0006011,ICD10CM:B25.1B25.1
MONDO:0005042,ICD10CM:B25.8B25.8
MONDO:0006009,ICD10CM:B25.8B25.8
MONDO:0018108,ICD10CM:B25.8B25.8
MONDO:0005132,ICD10CM:B25.9B25.9
MONDO:0005810,ICD10CM:B27.00B27.00
MONDO:0006619,ICD10CM:B27.00B27.00
MONDO:0009194,ICD10CM:B27.00B27.00
MONDO:0019293,ICD10CM:B27.00B27.00
MONDO:0021201,ICD10CM:B27.00B27.00
MONDO:0043233,ICD10CM:B27.00B27.00
MONDO:0005810,ICD10CM:B27.09B27.09
MONDO:0006619,ICD10CM:B27.09B27.09
MONDO:0009194,ICD10CM:B27.09B27.09
